Categoría,Correo,Asunto,Message
ham,secretaria60_3@trabajo.com,Babes I think I got...,Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx
ham,jefe98_2@gmail.com,Hi babe its me thanks...,Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx
ham,sofia42_2@outlook.es,So gd got free ice...,So gd got free ice cream... I oso wan...
ham,secretaria25_1@outlook.es,Pls give her prometazine syrup....,Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.
ham,jefe38_3@uni.edu,So how many days since...,So how many days since then?
ham,luis55_2@trabajo.com,Dear are you angry i...,Dear are you angry i was busy dear
ham,ana54@hotmail.com,Yup he msg me: is...,Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...
ham,ana85_2@uni.edu,... Are you in the...,... Are you in the pub?
ham,sofia74_2@gmail.com,There is a first time...,There is a first time for everything :)
ham,secretaria32_1@uni.edu,"Daddy, shu shu is looking...","Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?"
ham,secretaria64_5@gmail.com,I ask if u meeting...,I ask if u meeting da ge tmr nite...
ham,sofia92_1@uni.edu,Gr8. So how do you...,Gr8. So how do you handle the victoria island traffic. Plus when's the album due
ham,luis25_1@hotmail.com,Nite nite pocay wocay luv...,Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx
ham,carlos65_2@gmail.com,East coast,East coast
ham,secretaria88_2@hotmail.com,You should get more chicken...,You should get more chicken broth if you want ramen unless there's some I don't know about
ham,ana61@outlook.es,My slave! I want you...,My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!
ham,luis25@gmail.com,Nope. I just forgot. Will...,Nope. I just forgot. Will show next week
ham,luis29_1@uni.edu,So how are you really....,So how are you really. What are you up to. How's the masters. And so on.
ham,ana27@gmail.com,I'm at bruce &amp; fowler...,I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story)
ham,sofia12_2@uni.edu,I dont know oh. Hopefully...,I dont know oh. Hopefully this month.
ham,luis85_3@uni.edu,"Hi elaine, is today's meeting...","Hi elaine, is today's meeting confirmed?"
ham,profesor_x87@hotmail.com,Ok k..sry i knw 2...,Ok k..sry i knw 2 siva..tats y i askd..
ham,sofia97@hotmail.com,"Sorry, I'll call later","Sorry, I'll call later"
ham,jefe61_4@outlook.es,U horrible gal... U knew...,U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...
ham,secretaria39@hotmail.com,Otherwise had part time job...,Otherwise had part time job na-tuition..
ham,carlos23_1@hotmail.com,Oh yeah! And my diet...,Oh yeah! And my diet just flew out the window
spam,servicio_seguridad_159@alerta-oficial.net,URGENT ALERT: Immediate Action Required (ID: 726),Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.
ham,jefe97_2@hotmail.com,You didnt complete your gist...,You didnt complete your gist oh.
ham,ana92_3@trabajo.com,"Er yeah, i will b...","Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can"
ham,luis91_1@uni.edu,If you can make it...,"If you can make it any time tonight or whenever you can it's cool, just text me whenever you're around"
ham,profesor_x64_1@hotmail.com,If I was I wasn't...,If I was I wasn't paying attention
ham,carlos14@outlook.es,Thanx a lot 4 ur...,Thanx a lot 4 ur help!
ham,ana55_3@gmail.com,You're gonna have to be...,You're gonna have to be way more specific than that
ham,luis76_3@hotmail.com,Jesus armand really is trying...,Jesus armand really is trying to tell everybody he can find
ham,jefe66_1@outlook.es,I'm wif him now buying...,I'm wif him now buying tix lar...
ham,ana67_1@trabajo.com,Mode men or have you...,Mode men or have you left.
ham,jefe40_2@gmail.com,Am slow in using biola's...,Am slow in using biola's fne
ham,sofia71_3@gmail.com,What are youdoing later? Sar...,What are youdoing later? Sar xxx
ham,profesor_x45@outlook.es,Hey i've booked the 2...,Hey i've booked the 2 lessons on sun liao...
ham,jefe43_1@hotmail.com,Thank you. do you generally...,Thank you. do you generally date the brothas?
ham,sofia38_1@trabajo.com,"By the way, make sure...","By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x"
ham,profesor_x92@gmail.com,I thought i'd get him...,"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!"
spam,ganador_loto_143@felicidades.info,Congratulations! You Have Won a Prize (ID: 727),You have won a guaranteed 32000 award or maybe even £1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???
ham,sofia12_3@uni.edu,Good morning. At the repair...,Good morning. At the repair shop--the ONLY reason i'm up at this hour.
ham,sofia44_2@outlook.es,"And that's fine, I got...","And that's fine, I got enough bud to last most of the night at least"
ham,luis89_2@uni.edu,I am back. Good journey!...,I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?
ham,secretaria84_1@uni.edu,So that takes away some...,So that takes away some money worries
ham,jefe44_3@uni.edu,aight we can pick some...,"aight we can pick some up, you open before tonight?"
spam,soporte_tecnico_145@actualizacion-sistema.com,New Spam Message - Important (ID: 728),"Latest News! Police station toilet stolen, cops have nothing to go on!"
ham,carlos48_1@gmail.com,Sac needs to carry on:),Sac needs to carry on:)
ham,sofia24_2@trabajo.com,Just sing HU. I think...,Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.
ham,ana30@uni.edu,What???? Hello wats talks email...,What???? Hello wats talks email address?
ham,profesor_x83_1@trabajo.com,Except theres a chick with...,Except theres a chick with huge boobs.
ham,sofia37_4@uni.edu,Im just wondering what your...,Im just wondering what your doing right now?
ham,jefe21@trabajo.com,Wishing you a beautiful day....,Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.
spam,ganador_loto_144@felicidades.info,URGENT ALERT: Immediate Action Required (ID: 729),For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk
ham,profesor_x66_2@uni.edu,Arun can u transfr me...,Arun can u transfr me d amt
ham,jefe55_3@trabajo.com,"Sorry, I'll call later","Sorry, I'll call later"
ham,jefe74@trabajo.com,If you hear a loud...,If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/
spam,soporte_tecnico_146@actualizacion-sistema.com,Exclusive Free Offer! (ID: 730),December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
ham,secretaria78_2@outlook.es,Ok i thk i got...,Ok i thk i got it. Then u wan me 2 come now or wat?
spam,servicio_seguridad_160@alerta-oficial.net,Congratulations! You Have Won a Prize (ID: 731),Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv
ham,jefe66_1@uni.edu,U GOIN OUT 2NITE?,U GOIN OUT 2NITE?
ham,profesor_x34@outlook.es,I will treasure every moment...,I will treasure every moment we spend together...
ham,jefe56_1@hotmail.com,Shall I bring us a...,Shall I bring us a bottle of wine to keep us amused? Only joking! I‘ll bring one anyway
spam,servicio_seguridad_161@alerta-oficial.net,New Spam Message - Important (ID: 732),http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡C C Ringtone¡
spam,servicio_seguridad_162@alerta-oficial.net,Exclusive Free Offer! (ID: 733),Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk
spam,paypal_support_144@pago-pendient.biz,Congratulations! You Have Won a Prize (ID: 734),"URGENT! Last weekend's draw shows that you have won £1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm"
ham,sofia90_3@trabajo.com,Ok lor.,Ok lor.
ham,ana44_2@hotmail.com,I thought slide is enough.,I thought slide is enough.
ham,luis36_1@outlook.es,Yup,Yup
ham,jefe25_2@gmail.com,Well obviously not because all...,Well obviously not because all the people in my cool college life went home ;_;
ham,jefe81@hotmail.com,Ok lor ü reaching then...,Ok lor ü reaching then message me.
ham,ana94_3@uni.edu,Where's mummy's boy ? Is...,Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?
ham,sofia63_2@gmail.com,Dhoni have luck to win...,Dhoni have luck to win some big title.so we will win:)
ham,profesor_x60_2@trabajo.com,Yes princess! I want to...,Yes princess! I want to please you every night. Your wish is my command...
ham,jefe24@trabajo.com,What Today-sunday..sunday is holiday..so no...,What Today-sunday..sunday is holiday..so no work..
ham,secretaria81_3@trabajo.com,No probably &lt;#&gt; %.,No probably  &lt;#&gt; %.
ham,carlos79_3@outlook.es,Really do hope the work...,Really do hope the work doesnt get stressful. Have a gr8 day.
ham,secretaria75@outlook.es,Have you seen who's back...,Have you seen who's back at Holby?!
ham,ana48_3@uni.edu,Shall call now dear having...,Shall call now dear having food
spam,soporte_tecnico_147@actualizacion-sistema.com,Congratulations! You Have Won a Prize (ID: 735),URGENT We are trying to contact you Last weekends draw shows u have won a £1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm
ham,carlos80_2@gmail.com,So li hai... Me bored...,So li hai... Me bored now da lecturer repeating last weeks stuff waste time...
ham,sofia49_1@trabajo.com,", , and picking them...",", ,  and  picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || Very easy"
ham,secretaria81_2@uni.edu,Also fuck you and your...,Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong &gt;:(
ham,secretaria69@gmail.com,Ofcourse I also upload some...,Ofcourse I also upload some songs
spam,servicio_seguridad_163@alerta-oficial.net,URGENT ALERT: Immediate Action Required (ID: 736),2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out
ham,jefe36_3@gmail.com,K. I will sent it...,K. I will sent it again
ham,secretaria23_2@hotmail.com,Oh thanks a lot..i already...,Oh thanks a lot..i already bought 2 eggs ..
ham,secretaria81_1@outlook.es,K. I will sent it...,K. I will sent it again
ham,carlos35_3@hotmail.com,U studying in sch or...,U studying in sch or going home? Anyway i'll b going 2 sch later.
spam,noresponder_135@notificacion-urgente.org,Exclusive Free Offer! (ID: 737),Marvel Mobile Play the official Ultimate Spider-man game (£4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper
ham,carlos90@hotmail.com,I think if he rule...,I think if he rule tamilnadu..then its very tough for our people.
ham,jefe12@trabajo.com,"Cool, we shall go and...","Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in."
ham,ana17_1@outlook.es,"Good afternoon, my love ......","Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ..."
ham,luis69@gmail.com,Yes... I trust u to...,Yes... I trust u to buy new stuff ASAP so I can try it out
spam,paypal_support_145@pago-pendient.biz,New Spam Message - Important (ID: 738),"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE"
ham,secretaria50@uni.edu,Why did I wake up...,Why did I wake up on my own &gt;:(
ham,secretaria67_2@uni.edu,Now get step 2 outta...,Now get step 2 outta the way. Congrats again.
ham,sofia87_3@outlook.es,Love has one law; Make...,Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night
spam,servicio_seguridad_164@alerta-oficial.net,URGENT ALERT: Immediate Action Required (ID: 739),PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04
ham,secretaria42@outlook.es,Apo all other are mokka...,Apo all other are mokka players only
ham,jefe17_2@hotmail.com,Perhaps * is much easy...,"Perhaps * is much easy give your account identification, so i will tomorrow at UNI"
ham,sofia90_1@uni.edu,Wait . I will msg...,Wait . I will msg after  &lt;#&gt;  min.
ham,jefe48_1@gmail.com,What i told before i...,What i told before i tell. Stupid hear after i wont tell anything to you. You dad called to my brother and spoken. Not with me.
ham,luis11@uni.edu,God's love has no limit....,God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8
ham,profesor_x13_1@gmail.com,I want to be inside...,I want to be inside you every night...
ham,jefe60_3@trabajo.com,Machan you go to gym...,"Machan you go to gym tomorrow,  i wil come late goodnight."
ham,secretaria45_2@hotmail.com,Lol they were mad at...,Lol they were mad at first but then they woke up and gave in.
ham,carlos81_2@gmail.com,I went to project centre,I went to project centre
ham,profesor_x51_1@hotmail.com,"It‘s reassuring, in this crazy...","It‘s reassuring, in this crazy world."
ham,profesor_x61_2@uni.edu,"Just making dinner, you ?","Just making dinner, you ?"
ham,carlos64@gmail.com,Yes. Please leave at &lt;#&gt;...,Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave
ham,carlos36_2@trabajo.com,Oh... Okie lor...We go on...,Oh... Okie lor...We go on sat...
ham,secretaria94_2@outlook.es,You are a great role...,You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.
ham,carlos50_5@uni.edu,"Ya, i'm referin to mei's...","Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards..."
ham,secretaria67_3@uni.edu,Miles and smiles r made...,Miles and smiles r made frm same letters but do u know d difference..? smile on ur face keeps me happy even though I am miles away from u.. :-)keep smiling.. Good nyt
